"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Fake REST API tests","Books API","Get Books","1","0","13","0","0"
"Fake REST API tests","Authors API","Get Authors","3","0","14","0","0"
"Fake REST API tests","Authors API","Delete Authors","3","1","5","0","0"
"Fake REST API tests","Books API","Update Books","2","0","4","0","0"
"Fake REST API tests","Books API","Create Books","0","0","18","0","0"
"Fake REST API tests","Books API","Delete Books","2","1","6","0","0"
"Fake REST API tests","Authors API","Update Authors","9","0","2","0","0"
"Fake REST API tests","Authors API","Create Authors","2","0","8","0","0"
